,ISIN,Name,Shortcode,Type
0,DE0005545503,1+1 DRILLISCH AG O.N.,DRI,Equity
1,FR0010285965,"1000MERCIS INH.    EO-,10",XXX,Equity
2,US88025U1097,"10X GENOMICS  DL -,",1KJ,Equity
3,DE000DNA10X3,10XDNA-DISRUPT.,C9D4,Fund
4,DE0005118806,11 88 0 SOLUTIONS AG,TGT,Equity
5,PL11BTS00015,"11 BIT STUDIOS SA ZY -,10",11C,Equity
6,US68247Q1022,111 INC.  ADR/2 CL.A,811A,Equity
7,CH0491507486,21SHARES AG ETP.Z O.E.,AXTZ,ETF
8,CH1146882316,21SHARES ALGORAND ETP,V21S,ETF
9,CH1135202088,21SHARES AVALANCHE,V21A,ETF
10,CH0496484640,21SHARES BC/ET BSK ETP,21XA,ETF
11,CH0496454155,21SHARES BINANCEBNB,21XJ,ETF
12,CH0454664001,21SHARES BITCOIN ETP,2BTC,ETF
13,CH0475986318,21SHARES BITWISE 10ETP,ZZUC,ETF
14,CH0475552201,21SHARES BTC CASH ETP,ABCH,ETF
15,CH1102728750,21SHARES CARDANO ADA,ADAA,ETF
16,CH0454664027,21SHARES ETHER ETP OE,ETHA,ETF
17,CH0445689208,21SHARES HODL BSK ETP,21XH,ETF
18,CH1135202179,21SHARES HODL BSK ETP,H21X,ETF
19,CH1135202161,21SHARES HODL BSK ETP,H21V,ETF
20,CH1130675676,21SHARES HODL BSK ETP,XXX,ETF
21,CH0593331561,21SHARES POLKADOT ETP,ADOT,ETF
22,CH1129538448,21SHARES POLYGON  ETP,PLY,ETF
23,CH0454664043,21SHARES RIPPLEXRP ETP,21XX,ETF
24,CH0514065058,21SHARES SHORT BTC,2SBT,ETF
25,CH1114873776,21SHARES SOLANA ETP,ASOL,ETF
26,CH1109575535,21SHARES STELLAR XLM,XLME,ETF
27,CH0508793459,21SHARES SYGNUM MOON,ZZUH,ETF
28,US90138A1034,21VIANET GRP ADR A/6 O.,217A,Equity
29,FR0013341781,"2CRSI S.A.  EO-,09",52C,Equity
30,DE000A0HL8N9,2G ENERGY AG,2GB,Equity
31,DE000A3H3L44,2INVEST AG  NA O.N.,2INV,Equity
32,US90214J1016,"2U INC.          DL -,001",2U1,Equity
33,AT0000662275,3 BANKEN OESTERREICH-,FH6C,Fund
34,AT0000615364,3 BANKEN,FH6K,Fund
35,US88554D2053,"3 D SYS CORP.     DL-,001",SYV,Equity
36,KYG884931042,361 DEGREES,36L,Equity
37,AU000000TDO8,3D OIL LTD. REGISTERED,MUE,Equity
38,GB00B1YW4409,3I GROUP,IGQ5,Equity
39,US88579Y1010,"3M CO. DL-,50",MMM,Equity
40,KYG8875G1029,"3SBIO INC.     DL -,00001",83B,Equity
41,DE0005167902,3U HOLDING AG,UUU,Equity
42,GB00BJL5BR07,"4D PHARMA PLC   LS -,",4DY,Equity
43,XS1417876163,4FINANCE 16/22,4F0N,Bond
44,NO0011128316,4FINANCE 21/26,N/A,Bond
45,GB0006640972,"4IMPRINT GRP     LS-,3846",IMW,Equity
46,DE000A3E5C40,4SC AG INH. O.N. KONV.,VSCA,Equity
47,US3168271043,51JOB INC.  ADR,IWQ,Equity
48,CA33833X1015,5N PLUS INC.,EMB,Equity
49,DE000A11QW68,7C SOLARPARKEN AG,HRPK,Equity
50,AU00000088E2,88 ENERGY LTD,POQ,Equity
51,GI000A0F6407,"888 HOLDINGS PLC  LS-,",C8V,Equity
52,US2829141009,"8X8               DL-,001",EGT,Equity
53,US6544051096,"9 METERS BIOPHARM.DL-,",2Q3,Equity
54,US65442R1095,9F INC.    ADR/1 CL.A,165,Equity
55,GB00B6XZKY75,A G BARR PLC,AF72,Equity
56,LU1806495575,A-A.I.US C. UCITSDLA,UCRP,ETF
57,LU1602145119,A.-A.I.E.G.M.S.A.S.B.UEDI,SM8T,ETF
58,LU1602145200,A.-A.I.E.G.M.S.A.S.B.UEDI,AFIC,ETF
59,FR0014003FW1,A.MW CPAP U.E. EOD,PABV,ETF
60,DK0010244508,A.P. MOELLER - MAERSK,DP4B,Equity
61,XS2410368042,A.P.MOELLER 21/31 MTN,DP4D,Bond
62,DK0010244425,A.P.MOLLER-MAERSK A/S,DP4A,Equity
63,IT0001008876,"A.S. ROMA S.P.A    EO-,15",RO9,Equity
64,DE000A1TNNN5,A.S.CREATION TAPETEN O.,ACWN,Equity
65,FR0000076887,A.S.T. GROUPE INH.EO,9NA,Equity
66,US0021211018,A10 NETWORKS INC.,8A0,Equity
67,NZATME0002S8,A2 MILK CO. LTD.,14L,Equity
68,IT0001233417,"A2A S.P.A.        EO 0,52",EAM,Equity
69,KYG2953R1149,AAC TECHNOLOG.HLDG.,A2XN,Equity
70,SE0011337708,"AAK AB NAM. SK 1,67",6AA0,Equity
71,NL0000852564,"AALBERTS NV       EO -,25",AACA,Equity
72,XS0764637194,AALLN 3 1/2 03/28/22,BOND,Bond
73,DE000A3H2101,AAP IMPLANTATE AG,AAQ1,Equity
74,XS1619312173,AAPL 0 7/8 05/24/25,BOND,Bond
75,XS1619312686,AAPL 1 3/8 05/24/29,BOND,Bond
76,US0003611052,AAR CORP.            DL 1,ARZ,Equity
77,DE000A1TNDK2,AARB 7 5/8 11/29/49,BOND,Bond
78,DE0005408116,AAREAL BANK AG,ARL,Equity
79,LU0060230025,AB S.I-INT.TECHN.PTF.A DL,XAY5,Fund
80,FR0010557264,"AB SCIENCE S.A.    EO-,01",A8D,Equity
81,CA00258V1004,ABAXX TECHNOLOGIES,36N0,Equity
82,US0003752047,"ABB LTD ADR/1 SF 2,50",ABJA,Equity
83,CH0012221716,ABB N,ABJ,Equity
84,XS1402941790,ABBNVX 0 5/8 05/03/23,BOND,Bond
85,US0028241000,ABBOTT LABS,ABL,Equity
86,XS1520907814,ABBV 2 1/8 11/17/28,BOND,Bond
87,US00287Y1091,"ABBVIE INC.        DL-,01",4AB,Equity
88,FR0004040608,"ABC ARBITRAGE POR.EO-,",9BA,Equity
89,GB00B6774699,"ABCAM PLC        LS -,002",A8C1,Equity
90,CA00288U1066,ABCELLERA BIOLOGICS,8QQ,Equity
91,CA00288E3005,ABCOURT MINES INC.,AML,Equity
92,CA00289T3064,ABEN RESOURCES LTD,E2L2,Equity
93,FR0013185857,"ABEO S.A.         EO -,75",4A8,Equity
94,US00289Y1073,"ABEONA THERAPEUT.  DL-,",PCJP,Equity
95,US0028962076,ABERCROMBIE,AFT,Equity
96,XS2055651918,ABERTIS INF. 19/28 MTN,N/A,Bond
97,XS2282606578,ABERTIS INF. 21/UND. FLR,N/A,Bond
